resort,name,location,type,price,visited,ratingHeather,ratingMatt
wdw,Les Halles Boulangerie-Patisserie,EPCOT,Quick Service,$,True,4.0,3.0
wdw,Liberty Tree Tavern,Magic Kingdom Park,Table Service,$$$,True,5.0,5.0
wdw,Lottawatta Lodge,Disney's Blizzard Beach Water Park,Quick Service,$,False,,
wdw,Lotus Blossum Café,EPCOT,Quick Service,$,False,,
wdw,Mama Melrose's Ristorante Italiano,Disney's Hollywood Studios,Table Service,$$,True,3.0,2.0
wdw,Maria & Enzo's Ristorante,Disney Springs,Table Service,$$,False,,
wdw,Maya Grill,Disney's Coronado Springs Resort,Table Service,$$,False,,
wdw,Monsieur Paul,EPCOT,Table Service,$$$$,False,,
wdw,Morimoto Asia,Disney Springs,Table Service,$$$,True,5.0,5.0
wdw,Narcoossee's,Disney's Grand Floridian Resort & Spa,Table Service,$$$,False,,
wdw,Nine Dragons Restaurant,EPCOT,Table Service,$$,True,1.0,1.0
wdw,Ohana,Disney's Polynesian Village Resort,Table Service,$$$$,False,,
wdw,Olivia's Cafe,Disney's Old Key West Resort,Table Service,$$,True,5.0,3.0
wdw,Paddlefish,Disney Springs,Table Service,$$$,False,,
wdw,"Paradiso 37, Taste of the Americas",Disney Springs,Table Service,$$,False,,
wdw,Pecos Bill Tall Tale Inn and Cafe,Magic Kingdom Park,Quick Service,$,True,2.0,1.0
wdw,Pepe by José Andrés,Disney Springs,Table Service,$,False,,
wdw,Picabu,Walt Disney World Dolphin Hotel,Quick Service,$,False,,
wdw,Pinocchio Village Haus,Magic Kingdom Park,Quick Service,$,False,,
wdw,Pizza Ponte,Disney Springs,Quick Service,$,False,,
wdw,Pizzafari,Disney's Animal Kingdom Theme Park,Quick Service,$,False,,
wdw,PizzeRizzo,Disney's Hollywood Studios,Quick Service,$,True,4.0,5.0
wdw,Planet Hollywood,Disney Springs,Table Service,$$,True,5.0,5.0
wdw,Primo Piatto,Disney's Riviera Resort,Quick Service,$,False,,
wdw,Raglan Road™ Irish Pub and Restaurant,Disney Springs,Table Service,$$,False,,
