name,location,type,resort,visited,ratingHeather,ratingMatt
Star Sui Bao,Universal Epic Universe,Quick Service,Universal,FALSE,,
The Blue Dragon Pan-Asian Restaurant,Universal Epic Universe,Table Service,Universal,FALSE,,
The Oak & Star Tavern,Universal Epic Universe,Quick Service,Universal,FALSE,,
Toadstool Café,Universal Epic Universe,Quick Service,Universal,TRUE,,
Flora Taverna,Universal Helios Grand Hotel,Table Service,Universal,FALSE,,
Omega Café and Market,Universal Terra Luna Resort,Quick Service,Universal,FALSE,,
1900 Park Fare,Disney's Grand Floridian Resort & Spa,Character Dining,WDW,FALSE,0,0
4 Rivers Cantina Barbacoa Food Truck,Disney Springs,Quick Service,WDW,FALSE,0,0
50's Prime Time Café,Disney's Hollywood Studios,Table Service,WDW,TRUE,4.5,3.5
ABC Commissary,Disney's Hollywood Studios,Quick Service,WDW,TRUE,2.5,1
Akershus Royal Banquet Hall,EPCOT,Character Dining,WDW,FALSE,0,0
Ale & Compass Restaurant,Disney's Yacht Club Resort,Table Service,WDW,FALSE,0,0
Amare,Walt Disney World Swan Reserve,Table Service,WDW,FALSE,0,0
B.B. Wolf's Sausage Co.,Disney Springs,Quick Service,WDW,FALSE,0,0
Backlot Express,Disney's Hollywood Studios,Quick Service,WDW,TRUE,2.5,3
Banana Cabana,Disney's Caribbean Beach Resort,Table Service,WDW,FALSE,0,0
Be Our Guest Restaurant,Magic Kingdom Park,Table Service,WDW,TRUE,4.5,4
Beach Club Marketplace,Disney's Beach Club Resort,Quick Service,WDW,FALSE,0,0
Beaches & Cream Soda Shop,Disney's Beach Club Resort,Table Service,WDW,FALSE,0,0
Biergarten Restaurant,EPCOT,Table Service,WDW,TRUE,5,5
Blaze Fast-Fire'd Pizza,Disney Springs,Quick Service,WDW,TRUE,1,1
BoardWalk Deli,Disney's BoardWalk,Quick Service,WDW,FALSE,0,0
Boatwright's Dining Hall,Disney's Port Orleans Resort - Riverside,Table Service,WDW,FALSE,0,0
Boma - Flavors of Africa,Disney's Animal Kingdom Lodge,Table Service,WDW,TRUE,5,5
California Grill,Disney's Contemporary Resort,Table Service,WDW,FALSE,0,0
Capa,Four Season Resort Orlando,Table Service,WDW,FALSE,0,0
Cape May Cafe,Disney's Beach Club Resort,Table Service,WDW,FALSE,0,0
Capt. Cook's,Disney's Polynesian Village Resort,Quick Service,WDW,FALSE,0,0
Casey's Corner,Magic Kingdom Park,Quick Service,WDW,FALSE,0,0
Catalina Eddie's,Disney's Hollywood Studios,Quick Service,WDW,FALSE,0,0
Centertown Market,Disney's Caribbean Beach Resort,Quick Service,WDW,FALSE,0,0
Chef Art Smith's Homecomin',Disney Springs,Table Service,WDW,FALSE,0,0
Chef Mickey's,Disney's Contemporary Resort,Table Service,WDW,TRUE,2,2.5
Chefs de France,EPCOT,Table Service,WDW,TRUE,4.5,3.5
Chicken Guy!,Disney Springs,Table Service,WDW,TRUE,3,2.5
Chip 'n' Dale's Deli,Disney's Saratoga Springs Resort & Spa or Disney's Polynesian Village Resort,Quick Service,WDW,FALSE,0,0
Cinderella's Royal Table,Magic Kingdom Park,Table Service,WDW,FALSE,0,0
Cítricos,Disney's Grand Floridian Resort & Spa,Table Service,WDW,FALSE,0,0
City Works Eatery & Pour House,Disney Springs,Table Service,WDW,FALSE,0,0
Columbia Harbour House,Magic Kingdom Park,Quick Service,WDW,TRUE,5,4
Connections Eatery,EPCOT,Quick Service,WDW,FALSE,0,0
Contempo Café,Disney's Contemporary Resort,Quick Service,WDW,FALSE,0,0
Cookes of Dublin,Disney Springs,Quick Service,WDW,FALSE,0,0
Coral Reef Restaurant,EPCOT,Table Service,WDW,FALSE,0,0
Cosmic Ray's Starlight Café,Magic Kingdom Park,Quick Service,WDW,TRUE,3.5,4
D-Luxe Burger,Disney Springs,Quick Service,WDW,TRUE,1,1
Docking Bay 7 Food and Cargo,Disney's Hollywood Studios,Quick Service,WDW,TRUE,1.5,2.5
Dockside Diner,Disney's Hollywood Studios,Quick Service,WDW,FALSE,0,0
Earl of Sandwich®,Disney Springs,Quick Service,WDW,FALSE,0,0
eet by Maneet Chauhan,Disney Springs,Quick Service,WDW,FALSE,0,0
El Mercado de Coronado,Disney's Coronado Springs Resort,Quick Service,WDW,FALSE,0,0
End Zone Food Court,Disney's All-Star Sports Resort,Quick Service,WDW,FALSE,0,0
Enzo's Hideaway,Disney Springs,Table Service,WDW,FALSE,0,0
ESPN Wide World of Sports Grill,ESPN Wide World of Sports Complex,Quick Service,WDW,FALSE,0,0
Everything POP Shopping & Dining,Disney's Pop Century Resort,Quick Service,WDW,FALSE,0,0
Fairfax Fare,Disney's Hollywood Studios,Quick Service,WDW,FALSE,0,0
Flame Tree Barbecue,Disney's Animal Kingdom Theme Park,Quick Service,WDW,TRUE,4,3
Flying Fish,Disney's BoardWalk,Table Service,WDW,FALSE,0,0
Frontera Cocina,Disney Springs,Table Service,WDW,FALSE,0,0
Garden Grill Restaurant,EPCOT,Table Service,WDW,FALSE,0,0
Garden Grove,Walt Disney World Swan Hotel,Table Service,WDW,FALSE,0,0
Gasparilla Island Grill,Disney's Grand Floridian Resort & Spa,Quick Service,WDW,FALSE,0,0
Geyser Point Bar & Grill,Disney's Wilderness Lodge,Table Service,WDW,FALSE,0,0
Grand Floridian Cafe,Disney's Grand Floridian Resort & Spa,Table Service,WDW,FALSE,0,0
Harambe Market,Disney's Animal Kingdom Theme Park,Quick Service,WDW,FALSE,0,0
Hollywood & Vine,Disney's Hollywood Studios,Table Service,WDW,FALSE,0,0
Hoop-Dee-Doo Musical Revue,The Campsites at Disney's Fort Wilderness Resort,Table Service,WDW,TRUE,5,4
House of Blues Restaurant & Bar,Disney Springs,Table Service,WDW,FALSE,0,0
Il Mulino,Walt Disney World Swan ,Table Service,WDW,FALSE,0,0
Intermission Food Court,Disney's All-Star Music Resort,Quick Service,WDW,FALSE,0,0
Jaleo by José Andrés,Disney Springs,Table Service,WDW,FALSE,0,0
Jiko - The Cooking Place,Disney's Animal Kingdom Lodge,Table Service,WDW,TRUE,5,5
Jungle Navigation Co. LTD Skipper Canteen,Magic Kingdom Park,Table Service,WDW,TRUE,3,3.5
Kabuki Cafe,EPCOT,Quick Service,WDW,FALSE,0,0
Katsura Grill,EPCOT,Quick Service,WDW,FALSE,0,0
Kimonos,Walt Disney World Swan Hotel,Table Service,WDW,FALSE,0,0
Kona Cafe,Disney's Polynesian Village Resort,Table Service,WDW,TRUE,0,0
La Cantina de San Angel,EPCOT,Quick Service,WDW,FALSE,0,0
La Crêperie de Paris,EPCOT,Table Service,WDW,FALSE,0,0
La Hacienda de San Angel,EPCOT,Table Service,WDW,FALSE,0,0
